transform_type,heads_selection,high_key_max_value,high_value_max_value,low_key_max_value,low_value_max_value,axis_key,axis_value,cr
none,0.1,10,16,8,4,"(2,)","(1, 3)",5.7518
none,0.1,10,16,6,8,"(2,)","(1, 3)",5.6902
none,0.1,10,16,6,6,"(2,)","(1, 3)",5.7353
none,0.1,10,16,6,4,"(2,)","(1, 3)",5.799
none,0.1,10,16,4,8,"(2,)","(1, 3)",5.752
none,0.1,10,16,4,6,"(2,)","(1, 3)",5.798
none,0.1,10,16,4,4,"(2,)","(1, 3)",5.8631
none,0.1,10,12,8,8,"(2,)","(1, 3)",6.0583
none,0.1,10,12,8,6,"(2,)","(1, 3)",6.1094
none,0.1,10,12,8,4,"(2,)","(1, 3)",6.1818
none,0.1,10,12,6,8,"(2,)","(1, 3)",6.1106
none,0.1,10,12,6,6,"(2,)","(1, 3)",6.1626
none,0.1,10,12,6,4,"(2,)","(1, 3)",6.2363
none,0.1,10,12,4,8,"(2,)","(1, 3)",6.1819
none,0.1,10,12,4,6,"(2,)","(1, 3)",6.2351
none,0.1,10,12,4,4,"(2,)","(1, 3)",6.3105
none,0.1,10,10,8,8,"(2,)","(1, 3)",6.3544
none,0.1,10,10,8,6,"(2,)","(1, 3)",6.4106
none,0.1,10,10,8,4,"(2,)","(1, 3)",6.4903
none,0.1,10,10,6,8,"(2,)","(1, 3)",6.412
none,0.1,10,10,6,6,"(2,)","(1, 3)",6.4693
none,0.1,10,10,6,4,"(2,)","(1, 3)",6.5505
none,0.1,10,10,4,8,"(2,)","(1, 3)",6.4905
none,0.1,10,10,4,6,"(2,)","(1, 3)",6.5492
none,0.1,10,10,4,4,"(2,)","(1, 3)",6.6324
none,0.1,10,8,8,8,"(2,)","(1, 3)",6.7574
none,0.1,10,8,8,6,"(2,)","(1, 3)",6.821
none,0.1,10,8,8,4,"(2,)","(1, 3)",6.9113
none,0.1,10,8,6,8,"(2,)","(1, 3)",6.8225
none,0.1,10,8,6,6,"(2,)","(1, 3)",6.8874
none,0.1,10,8,6,4,"(2,)","(1, 3)",6.9795
none,0.1,10,8,4,8,"(2,)","(1, 3)",6.9115
none,0.1,10,8,4,6,"(2,)","(1, 3)",6.9781
none,0.1,10,8,4,4,"(2,)","(1, 3)",7.0726
none,0.1,10,6,8,6,"(2,)","(1, 3)",7.4122
none,0.1,10,6,8,4,"(2,)","(1, 3)",7.5189
none,0.1,10,6,6,6,"(2,)","(1, 3)",7.4907
none,0.1,10,6,6,4,"(2,)","(1, 3)",7.5997
none,0.1,10,6,4,6,"(2,)","(1, 3)",7.598
none,0.1,10,6,4,4,"(2,)","(1, 3)",7.7102
none,0.1,8,16,8,8,"(2,)","(1, 3)",5.9707
