transform_type,heads_selection,high_key_max_value,high_value_max_value,low_key_max_value,low_value_max_value,axis_key,axis_value,cr
hadamard,0.1,16,5,6,4,"(2,)","(1, 3)",7.0767
hadamard,0.1,16,5,6,3,"(2,)","(1, 3)",7.1581
hadamard,0.1,16,5,4,4,"(2,)","(1, 3)",7.1583
hadamard,0.1,16,5,4,3,"(2,)","(1, 3)",7.2415
hadamard,0.1,16,5,3,4,"(2,)","(1, 3)",7.2706
hadamard,0.1,16,5,3,3,"(2,)","(1, 3)",7.3565
hadamard,0.1,12,16,8,8,"(2,)","(1, 3)",5.4473
hadamard,0.1,12,16,8,6,"(2,)","(1, 3)",5.49
hadamard,0.1,12,16,8,4,"(2,)","(1, 3)",5.5505
hadamard,0.1,12,16,8,3,"(2,)","(1, 3)",5.6005
hadamard,0.1,12,16,6,8,"(2,)","(1, 3)",5.4875
hadamard,0.1,12,16,6,6,"(2,)","(1, 3)",5.5309
hadamard,0.1,12,16,6,4,"(2,)","(1, 3)",5.5924
hadamard,0.1,12,16,6,3,"(2,)","(1, 3)",5.6431
hadamard,0.1,12,16,4,8,"(2,)","(1, 3)",5.5364
hadamard,0.1,12,16,4,6,"(2,)","(1, 3)",5.5806
hadamard,0.1,12,16,4,4,"(2,)","(1, 3)",5.6432
hadamard,0.1,12,16,4,3,"(2,)","(1, 3)",5.6948
hadamard,0.1,12,16,3,8,"(2,)","(1, 3)",5.6034
hadamard,0.1,12,16,3,6,"(2,)","(1, 3)",5.6486
hadamard,0.1,12,16,3,4,"(2,)","(1, 3)",5.7127
hadamard,0.1,12,16,3,3,"(2,)","(1, 3)",5.7656
hadamard,0.1,12,12,8,8,"(2,)","(1, 3)",5.8352
hadamard,0.1,12,12,8,6,"(2,)","(1, 3)",5.8842
hadamard,0.1,12,12,8,4,"(2,)","(1, 3)",5.9539
hadamard,0.1,12,12,8,3,"(2,)","(1, 3)",6.0114
hadamard,0.1,12,12,6,8,"(2,)","(1, 3)",5.8814
hadamard,0.1,12,12,6,6,"(2,)","(1, 3)",5.9313
hadamard,0.1,12,12,6,4,"(2,)","(1, 3)",6.002
hadamard,0.1,12,12,6,3,"(2,)","(1, 3)",6.0605
hadamard,0.1,12,12,4,8,"(2,)","(1, 3)",5.9377
hadamard,0.1,12,12,4,6,"(2,)","(1, 3)",5.9884
hadamard,0.1,12,12,4,4,"(2,)","(1, 3)",6.0606
hadamard,0.1,12,12,4,3,"(2,)","(1, 3)",6.1202
hadamard,0.1,12,12,3,8,"(2,)","(1, 3)",6.0147
hadamard,0.1,12,12,3,6,"(2,)","(1, 3)",6.0668
hadamard,0.1,12,12,3,4,"(2,)","(1, 3)",6.1409
hadamard,0.1,12,12,3,3,"(2,)","(1, 3)",6.2021
hadamard,0.1,12,10,8,8,"(2,)","(1, 3)",6.1111
hadamard,0.1,12,10,8,6,"(2,)","(1, 3)",6.1649
hadamard,0.1,12,10,8,4,"(2,)","(1, 3)",6.2414
hadamard,0.1,12,10,8,3,"(2,)","(1, 3)",6.3046
hadamard,0.1,12,10,6,8,"(2,)","(1, 3)",6.1619
hadamard,0.1,12,10,6,6,"(2,)","(1, 3)",6.2166
hadamard,0.1,12,10,6,4,"(2,)","(1, 3)",6.2943
hadamard,0.1,12,10,6,3,"(2,)","(1, 3)",6.3586
hadamard,0.1,12,10,4,8,"(2,)","(1, 3)",6.2236
hadamard,0.1,12,10,4,6,"(2,)","(1, 3)",6.2794
hadamard,0.1,12,10,4,4,"(2,)","(1, 3)",6.3588
hadamard,0.1,12,10,4,3,"(2,)","(1, 3)",6.4244
hadamard,0.1,12,10,3,8,"(2,)","(1, 3)",6.3083
hadamard,0.1,12,10,3,6,"(2,)","(1, 3)",6.3657
hadamard,0.1,12,10,3,4,"(2,)","(1, 3)",6.4472
hadamard,0.1,12,10,3,3,"(2,)","(1, 3)",6.5147
hadamard,0.1,12,8,8,8,"(2,)","(1, 3)",6.4903
hadamard,0.1,12,8,8,6,"(2,)","(1, 3)",6.551
hadamard,0.1,12,8,8,4,"(2,)","(1, 3)",6.6374
hadamard,0.1,12,8,8,3,"(2,)","(1, 3)",6.709
hadamard,0.1,12,8,6,8,"(2,)","(1, 3)",6.5476
hadamard,0.1,12,8,6,6,"(2,)","(1, 3)",6.6094
hadamard,0.1,12,8,6,4,"(2,)","(1, 3)",6.6974
hadamard,0.1,12,8,6,3,"(2,)","(1, 3)",6.7702
hadamard,0.1,12,8,4,8,"(2,)","(1, 3)",6.6173
hadamard,0.1,12,8,4,6,"(2,)","(1, 3)",6.6804
hadamard,0.1,12,8,4,4,"(2,)","(1, 3)",6.7703
hadamard,0.1,12,8,4,3,"(2,)","(1, 3)",6.8448
hadamard,0.1,12,8,3,8,"(2,)","(1, 3)",6.7132
hadamard,0.1,12,8,3,6,"(2,)","(1, 3)",6.7782
hadamard,0.1,12,8,3,4,"(2,)","(1, 3)",6.8707
hadamard,0.1,12,8,3,3,"(2,)","(1, 3)",6.9474
hadamard,0.1,12,6,8,6,"(2,)","(1, 3)",7.1066
hadamard,0.1,12,6,8,4,"(2,)","(1, 3)",7.2084
hadamard,0.1,12,6,8,3,"(2,)","(1, 3)",7.2929
hadamard,0.1,12,6,6,6,"(2,)","(1, 3)",7.1753
hadamard,0.1,12,6,6,4,"(2,)","(1, 3)",7.2791
hadamard,0.1,12,6,6,3,"(2,)","(1, 3)",7.3653
hadamard,0.1,12,6,4,6,"(2,)","(1, 3)",7.2592
hadamard,0.1,12,6,4,4,"(2,)","(1, 3)",7.3654
hadamard,0.1,12,6,4,3,"(2,)","(1, 3)",7.4536
hadamard,0.1,12,6,3,6,"(2,)","(1, 3)",7.3747
hadamard,0.1,12,6,3,4,"(2,)","(1, 3)",7.4844
hadamard,0.1,12,6,3,3,"(2,)","(1, 3)",7.5755
hadamard,0.1,12,5,8,4,"(2,)","(1, 3)",7.6662
hadamard,0.1,12,5,8,3,"(2,)","(1, 3)",7.7618
hadamard,0.1,12,5,6,4,"(2,)","(1, 3)",7.7462
hadamard,0.1,12,5,6,3,"(2,)","(1, 3)",7.8438
hadamard,0.1,12,5,4,4,"(2,)","(1, 3)",7.844
hadamard,0.1,12,5,4,3,"(2,)","(1, 3)",7.9441
hadamard,0.1,12,5,3,4,"(2,)","(1, 3)",7.9791
hadamard,0.1,12,5,3,3,"(2,)","(1, 3)",8.0827
hadamard,0.1,10,16,8,8,"(2,)","(1, 3)",5.6873
hadamard,0.1,10,16,8,6,"(2,)","(1, 3)",5.7339
hadamard,0.1,10,16,8,4,"(2,)","(1, 3)",5.8
hadamard,0.1,10,16,8,3,"(2,)","(1, 3)",5.8546
hadamard,0.1,10,16,6,8,"(2,)","(1, 3)",5.7313
hadamard,0.1,10,16,6,6,"(2,)","(1, 3)",5.7786
hadamard,0.1,10,16,6,4,"(2,)","(1, 3)",5.8457
hadamard,0.1,10,16,6,3,"(2,)","(1, 3)",5.9011
hadamard,0.1,10,16,4,8,"(2,)","(1, 3)",5.7846
hadamard,0.1,10,16,4,6,"(2,)","(1, 3)",5.8328
hadamard,0.1,10,16,4,4,"(2,)","(1, 3)",5.9012
hadamard,0.1,10,16,4,3,"(2,)","(1, 3)",5.9577
hadamard,0.1,10,16,3,8,"(2,)","(1, 3)",5.8578
hadamard,0.1,10,16,3,6,"(2,)","(1, 3)",5.9072
hadamard,0.1,10,16,3,4,"(2,)","(1, 3)",5.9774
hadamard,0.1,10,16,3,3,"(2,)","(1, 3)",6.0353
hadamard,0.1,10,12,8,8,"(2,)","(1, 3)",6.1116
hadamard,0.1,10,12,8,6,"(2,)","(1, 3)",6.1654
hadamard,0.1,10,12,8,4,"(2,)","(1, 3)",6.2419
