transform_type,heads_selection,high_key_max_value,high_value_max_value,low_key_max_value,low_value_max_value,axis_key,axis_value,cr
hadamard,0.1,16,5,6,4,"(2,)","(1, 3)",6.8488
hadamard,0.1,16,5,6,3,"(2,)","(1, 3)",6.9206
hadamard,0.1,16,5,4,4,"(2,)","(1, 3)",6.9196
hadamard,0.1,16,5,4,3,"(2,)","(1, 3)",6.9929
hadamard,0.1,16,5,3,4,"(2,)","(1, 3)",7.0236
hadamard,0.1,16,5,3,3,"(2,)","(1, 3)",7.0991
hadamard,0.1,12,16,8,8,"(2,)","(1, 3)",5.2974
hadamard,0.1,12,16,8,6,"(2,)","(1, 3)",5.3357
hadamard,0.1,12,16,8,4,"(2,)","(1, 3)",5.3906
hadamard,0.1,12,16,8,3,"(2,)","(1, 3)",5.4359
hadamard,0.1,12,16,6,8,"(2,)","(1, 3)",5.333
hadamard,0.1,12,16,6,6,"(2,)","(1, 3)",5.3718
hadamard,0.1,12,16,6,4,"(2,)","(1, 3)",5.4274
hadamard,0.1,12,16,6,3,"(2,)","(1, 3)",5.4734
hadamard,0.1,12,16,4,8,"(2,)","(1, 3)",5.3754
hadamard,0.1,12,16,4,6,"(2,)","(1, 3)",5.4148
hadamard,0.1,12,16,4,4,"(2,)","(1, 3)",5.4713
hadamard,0.1,12,16,4,3,"(2,)","(1, 3)",5.518
hadamard,0.1,12,16,3,8,"(2,)","(1, 3)",5.4378
hadamard,0.1,12,16,3,6,"(2,)","(1, 3)",5.4782
hadamard,0.1,12,16,3,4,"(2,)","(1, 3)",5.536
hadamard,0.1,12,16,3,3,"(2,)","(1, 3)",5.5838
hadamard,0.1,12,12,8,8,"(2,)","(1, 3)",5.668
hadamard,0.1,12,12,8,6,"(2,)","(1, 3)",5.7116
hadamard,0.1,12,12,8,4,"(2,)","(1, 3)",5.774
hadamard,0.1,12,12,8,3,"(2,)","(1, 3)",5.8259
hadamard,0.1,12,12,6,8,"(2,)","(1, 3)",5.7088
hadamard,0.1,12,12,6,6,"(2,)","(1, 3)",5.7529
hadamard,0.1,12,12,6,4,"(2,)","(1, 3)",5.8163
hadamard,0.1,12,12,6,3,"(2,)","(1, 3)",5.8689
hadamard,0.1,12,12,4,8,"(2,)","(1, 3)",5.7573
hadamard,0.1,12,12,4,6,"(2,)","(1, 3)",5.8023
hadamard,0.1,12,12,4,4,"(2,)","(1, 3)",5.8667
hadamard,0.1,12,12,4,3,"(2,)","(1, 3)",5.9203
hadamard,0.1,12,12,3,8,"(2,)","(1, 3)",5.829
hadamard,0.1,12,12,3,6,"(2,)","(1, 3)",5.8751
hadamard,0.1,12,12,3,4,"(2,)","(1, 3)",5.9412
hadamard,0.1,12,12,3,3,"(2,)","(1, 3)",5.9961
hadamard,0.1,12,10,8,8,"(2,)","(1, 3)",5.9322
hadamard,0.1,12,10,8,6,"(2,)","(1, 3)",5.98
hadamard,0.1,12,10,8,4,"(2,)","(1, 3)",6.0481
hadamard,0.1,12,10,8,3,"(2,)","(1, 3)",6.1048
hadamard,0.1,12,10,6,8,"(2,)","(1, 3)",5.9769
