0.16761419,0.16285814,0.14723934,0.16082789
0.16379392,0.21246263,0.09320242,0.2043843
0.17080536,0.14592691,0.28333873,0.19056542
0.15937379,0.12887827,0.22444135,0.1651747
0.28337112,0.44429424,0.08988088,0.13109821
0.1676451,0.3237948,0.3570006,0.112203024
0.062183462,0.25684875,0.07705405,0.11110379
0.089137554,0.14301342,0.25412226,0.16976696
0.18231623,0.112219214,0.051831543,0.3431397
0.17004502,0.207284,0.28004318,0.16926424
0.15124595,0.076805644,0.08485939,0.05696545
0.12682298,0.17485066,0.033943724,0.20415068
0.092158526,0.15297613,0.20941947,0.13233212
0.16911377,0.09433896,0.13249622,0.08647995
0.42761636,0.30970675,0.194648,0.18593475
0.10622758,0.032046374,0.27423105,0.15185179
0.28523916,0.38282627,0.28133133,0.14031568
0.11356646,0.31030774,0.32267964,0.142536
0.0636322,0.10904985,0.16722792,0.18387286
0.21973716,0.047980722,0.29738754,0.24294391
0.063923694,0.25669032,0.14788893,0.17316006
0.21267016,0.13587703,0.15210263,0.18613888
0.39101347,0.23078358,0.22150907,0.37667343
0.2106111,0.29295066,0.326847,0.11772837
0.138557,0.3958008,0.10527205,0.34277105
0.06423275,0.38469067,0.13800697,0.28048542
0.40024906,0.30630413,0.3922515,0.2661616
0.37641603,0.10030424,0.39824763,0.37342808
